val,cutoff,year,country
6897,cop5,1992,Sweden
6151,cop5,1995,Sweden
7801,cop5,2000,Sweden
9611,cop5,2005,Sweden
10261,cop5,1982,Switzerland
6980,cop5,1992,Switzerland
10978,cop5,2000,Switzerland
11384,cop5,2002,Switzerland
10504,cop5,2004,Switzerland
5683,cop5,1979,United Kingdom
5421,cop5,1986,United Kingdom
5678,cop5,1991,United Kingdom
6646,cop5,1994,United Kingdom
5814,cop5,1995,United Kingdom
6871,cop5,1999,United Kingdom
8418,cop5,2004,United Kingdom
6810,cop5,2007,United Kingdom
6781,cop5,2010,United Kingdom
7143,cop5,1979,United States
6753,cop5,1986,United States
6674,cop5,1991,United States
6503,cop5,1994,United States
7142,cop5,1997,United States
7809,cop5,2000,United States
7226,cop5,2004,United States
7285,cop5,2007,United States
6410,cop5,2010,United States
8290,cop10,1981,Australia
8222,cop10,1985,Australia
8190,cop10,1989,Australia
7776,cop10,1995,Australia
8474,cop10,2001,Australia
8583,cop10,2003,Australia
11154,cop10,1987,Austria
11032,cop10,1994,Austria
8961,cop10,1995,Austria
10829,cop10,1997,Austria
11901,cop10,2000,Austria
12808,cop10,2004,Austria
8920,cop10,1985,Belgium
9182,cop10,1988,Belgium
9942,cop10,1992,Belgium
9864,cop10,1995,Belgium
9951,cop10,1997,Belgium
10531,cop10,2000,Belgium
9799,cop10,1981,Canada
10531,cop10,1987,Canada
10680,cop10,1991,Canada
10575,cop10,1994,Canada
10285,cop10,1997,Canada
10070,cop10,1998,Canada
10307,cop10,2000,Canada
10657,cop10,2004,Canada
12062,cop10,2007,Canada
12239,cop10,2010,Canada
9387,cop10,1987,Denmark
9901,cop10,1992,Denmark
11218,cop10,1995,Denmark
11635,cop10,2000,Denmark
12160,cop10,2004,Denmark
2258,cop10,2000,Estonia
2963,cop10,2004,Estonia
4575,cop10,2007,Estonia
4205,cop10,2010,Estonia
8721,cop10,1987,Finland
9548,cop10,1991,Finland
8904,cop10,1995,Finland
9158,cop10,2000,Finland
10073,cop10,2004,Finland
10612,cop10,2007,Finland
10996,cop10,2010,Finland
6853,cop10,1978,France
7068,cop10,1984,France
8372,cop10,1989,France
9424,cop10,1994,France
9627,cop10,2000,France
9609,cop10,2005,France
10631,cop10,1981,Germany
12152,cop10,1983,Germany
9581,cop10,1984,Germany
11413,cop10,1989,Germany
10629,cop10,1994,Germany
11552,cop10,2000,Germany
11084,cop10,2004,Germany
10858,cop10,2007,Germany
10612,cop10,2010,Germany
4299,cop10,1995,Greece
5273,cop10,2000,Greece
6830,cop10,2004,Greece
7662,cop10,2007,Greece
6543,cop10,2010,Greece
4647,cop10,1987,Ireland
6028,cop10,1994,Ireland
6124,cop10,1995,Ireland
6425,cop10,1996,Ireland
7606,cop10,2000,Ireland
9262,cop10,2004,Ireland
11200,cop10,2007,Ireland
9902,cop10,2010,Ireland
4931,cop10,1986,Israel
6076,cop10,1992,Israel
5337,cop10,1997,Israel
5925,cop10,2001,Israel
5068,cop10,2005,Israel
5569,cop10,2007,Israel
5562,cop10,2010,Israel
6035,cop10,1986,Italy
6251,cop10,1987,Italy
7379,cop10,1989,Italy
7470,cop10,1991,Italy
6152,cop10,1993,Italy
5871,cop10,1995,Italy
6161,cop10,1998,Italy
6474,cop10,2000,Italy
6853,cop10,2004,Italy
7370,cop10,2008,Italy
6944,cop10,2010,Italy
10043,cop10,1985,Luxembourg
14864,cop10,1991,Luxembourg
16711,cop10,1994,Luxembourg
15603,cop10,1997,Luxembourg
17082,cop10,2000,Luxembourg
18016,cop10,2004,Luxembourg
18619,cop10,2007,Luxembourg
18729,cop10,2010,Luxembourg
1356,cop10,1989,Mexico
1360,cop10,1992,Mexico
1333,cop10,1994,Mexico
1075,cop10,1996,Mexico
995,cop10,1998,Mexico
1236,cop10,2000,Mexico
1338,cop10,2002,Mexico
1473,cop10,2004,Mexico
1807,cop10,2008,Mexico
1740,cop10,2010,Mexico
9272,cop10,1983,Netherlands
9970,cop10,1987,Netherlands
11027,cop10,1990,Netherlands
9999,cop10,1993,Netherlands
12384,cop10,1999,Netherlands
12023,cop10,2004,Netherlands
13210,cop10,2007,Netherlands
13159,cop10,2010,Netherlands
7735,cop10,1979,Norway
10264,cop10,1986,Norway
10863,cop10,1991,Norway
11828,cop10,1995,Norway
12670,cop10,2000,Norway
13543,cop10,2004,Norway
2417,cop10,1995,Poland
3262,cop10,1999,Poland
3006,cop10,2004,Poland
3829,cop10,2007,Poland
4424,cop10,2010,Poland
4396,cop10,1980,Spain
4517,cop10,1985,Spain
5849,cop10,1990,Spain
5672,cop10,1995,Spain
7271,cop10,2000,Spain
7054,cop10,2004,Spain
7976,cop10,2007,Spain
6455,cop10,2010,Spain
7819,cop10,1981,Sweden
7764,cop10,1987,Sweden
9037,cop10,1992,Sweden
8831,cop10,1995,Sweden
9758,cop10,2000,Sweden
11369,cop10,2005,Sweden
12975,cop10,1982,Switzerland
12570,cop10,1992,Switzerland
13140,cop10,2000,Switzerland
13861,cop10,2002,Switzerland
13299,cop10,2004,Switzerland
6716,cop10,1979,United Kingdom
6718,cop10,1986,United Kingdom
6766,cop10,1991,United Kingdom
7761,cop10,1994,United Kingdom
7143,cop10,1995,United Kingdom
8300,cop10,1999,United Kingdom
10348,cop10,2004,United Kingdom
9008,cop10,2007,United Kingdom
9162,cop10,2010,United Kingdom
9726,cop10,1979,United States
9187,cop10,1986,United States
8996,cop10,1991,United States
8954,cop10,1994,United States
9799,cop10,1997,United States
10641,cop10,2000,United States
10396,cop10,2004,United States
10423,cop10,2007,United States
9645,cop10,2010,United States
10900,cop20,1981,Australia
10534,cop20,1985,Australia
10714,cop20,1989,Australia
9569,cop20,1995,Australia
10499,cop20,2001,Australia
10916,cop20,2003,Australia
13814,cop20,1987,Austria
14414,cop20,1994,Austria
11942,cop20,1995,Austria
13929,cop20,1997,Austria
14764,cop20,2000,Austria
15882,cop20,2004,Austria
10524,cop20,1985,Belgium
10900,cop20,1988,Belgium
11717,cop20,1992,Belgium
12354,cop20,1995,Belgium
12539,cop20,1997,Belgium
12883,cop20,2000,Belgium
13442,cop20,1981,Canada
14050,cop20,1987,Canada
14254,cop20,1991,Canada
14001,cop20,1994,Canada
13689,cop20,1997,Canada
13605,cop20,1998,Canada
13782,cop20,2000,Canada
14341,cop20,2004,Canada
15849,cop20,2007,Canada
15966,cop20,2010,Canada
11939,cop20,1987,Denmark
12066,cop20,1992,Denmark
13337,cop20,1995,Denmark
13921,cop20,2000,Denmark
14512,cop20,2004,Denmark
2961,cop20,2000,Estonia
3870,cop20,2004,Estonia
5971,cop20,2007,Estonia
5417,cop20,2010,Estonia
10571,cop20,1987,Finland
11792,cop20,1991,Finland
10627,cop20,1995,Finland
11014,cop20,2000,Finland
12367,cop20,2004,Finland
13131,cop20,2007,Finland
13523,cop20,2010,Finland
9011,cop20,1978,France
9834,cop20,1984,France
10464,cop20,1989,France
11826,cop20,1994,France
11905,cop20,2000,France
12302,cop20,2005,France
12762,cop20,1981,Germany
14723,cop20,1983,Germany
11946,cop20,1984,Germany
13859,cop20,1989,Germany
13309,cop20,1994,Germany
14589,cop20,2000,Germany
14103,cop20,2004,Germany
13785,cop20,2007,Germany
13554,cop20,2010,Germany
6280,cop20,1995,Greece
7082,cop20,2000,Greece
8973,cop20,2004,Greece
9813,cop20,2007,Greece
8521,cop20,2010,Greece
5643,cop20,1987,Ireland
7442,cop20,1994,Ireland
7596,cop20,1995,Ireland
8046,cop20,1996,Ireland
10219,cop20,2000,Ireland
11812,cop20,2004,Ireland
13877,cop20,2007,Ireland
12307,cop20,2010,Ireland
6339,cop20,1986,Israel
7600,cop20,1992,Israel
7098,cop20,1997,Israel
7585,cop20,2001,Israel
6922,cop20,2005,Israel
7575,cop20,2007,Israel
7531,cop20,2010,Israel
7784,cop20,1986,Italy
8000,cop20,1987,Italy
9171,cop20,1989,Italy
9274,cop20,1991,Italy
8064,cop20,1993,Italy
7995,cop20,1995,Italy
8535,cop20,1998,Italy
8757,cop20,2000,Italy
8973,cop20,2004,Italy
9428,cop20,2008,Italy
9197,cop20,2010,Italy
11969,cop20,1985,Luxembourg
17988,cop20,1991,Luxembourg
19841,cop20,1994,Luxembourg
19129,cop20,1997,Luxembourg
20634,cop20,2000,Luxembourg
23716,cop20,2004,Luxembourg
22997,cop20,2007,Luxembourg
22852,cop20,2010,Luxembourg
1938,cop20,1989,Mexico
2007,cop20,1992,Mexico
1938,cop20,1994,Mexico
1540,cop20,1996,Mexico
1528,cop20,1998,Mexico
1841,cop20,2000,Mexico
2018,cop20,2002,Mexico
2234,cop20,2004,Mexico
2885,cop20,2008,Mexico
2812,cop20,2010,Mexico
10919,cop20,1983,Netherlands
11464,cop20,1987,Netherlands
13163,cop20,1990,Netherlands
12360,cop20,1993,Netherlands
14868,cop20,1999,Netherlands
14606,cop20,2004,Netherlands
16117,cop20,2007,Netherlands
15866,cop20,2010,Netherlands
9639,cop20,1979,Norway
12956,cop20,1986,Norway
13641,cop20,1991,Norway
15034,cop20,1995,Norway
15668,cop20,2000,Norway
16918,cop20,2004,Norway
3272,cop20,1995,Poland
4173,cop20,1999,Poland
3937,cop20,2004,Poland
4889,cop20,2007,Poland
5644,cop20,2010,Poland
5756,cop20,1980,Spain
5724,cop20,1985,Spain
7453,cop20,1990,Spain
7687,cop20,1995,Spain
9621,cop20,2000,Spain
9494,cop20,2004,Spain
10615,cop20,2007,Spain
9108,cop20,2010,Spain
9380,cop20,1981,Sweden
9625,cop20,1987,Sweden
11121,cop20,1992,Sweden
11083,cop20,1995,Sweden
11923,cop20,2000,Sweden
13699,cop20,2005,Sweden
16305,cop20,1982,Switzerland
16291,cop20,1992,Switzerland
16329,cop20,2000,Switzerland
17115,cop20,2002,Switzerland
16839,cop20,2004,Switzerland
8416,cop20,1979,United Kingdom
8180,cop20,1986,United Kingdom
8594,cop20,1991,United Kingdom
9493,cop20,1994,United Kingdom
8945,cop20,1995,United Kingdom
10436,cop20,1999,United Kingdom
13051,cop20,2004,United Kingdom
12719,cop20,2007,United Kingdom
12569,cop20,2010,United Kingdom
13762,cop20,1979,United States
13168,cop20,1986,United States
13008,cop20,1991,United States
13000,cop20,1994,United States
13838,cop20,1997,United States
14914,cop20,2000,United States
14932,cop20,2004,United States
14932,cop20,2007,United States
14378,cop20,2010,United States
13232,cop30,1981,Australia
12838,cop30,1985,Australia
12931,cop30,1989,Australia
11541,cop30,1995,Australia
12870,cop30,2001,Australia
13247,cop30,2003,Australia
16036,cop30,1987,Austria
16830,cop30,1994,Austria
14097,cop30,1995,Austria
16068,cop30,1997,Austria
17103,cop30,2000,Austria
18443,cop30,2004,Austria
11821,cop30,1985,Belgium
12386,cop30,1988,Belgium
13256,cop30,1992,Belgium
14418,cop30,1995,Belgium
14510,cop30,1997,Belgium
15249,cop30,2000,Belgium
16536,cop30,1981,Canada
16861,cop30,1987,Canada
16825,cop30,1991,Canada
16740,cop30,1994,Canada
16435,cop30,1997,Canada
16563,cop30,1998,Canada
16570,cop30,2000,Canada
17644,cop30,2004,Canada
19227,cop30,2007,Canada
19649,cop30,2010,Canada
14516,cop30,1987,Denmark
14214,cop30,1992,Denmark
15521,cop30,1995,Denmark
16354,cop30,2000,Denmark
17027,cop30,2004,Denmark
3585,cop30,2000,Estonia
4705,cop30,2004,Estonia
7302,cop30,2007,Estonia
6551,cop30,2010,Estonia
12053,cop30,1987,Finland
13458,cop30,1991,Finland
11994,cop30,1995,Finland
12751,cop30,2000,Finland
14324,cop30,2004,Finland
15649,cop30,2007,Finland
15895,cop30,2010,Finland
10454,cop30,1978,France
11606,cop30,1984,France
12341,cop30,1989,France
13709,cop30,1994,France
13920,cop30,2000,France
14492,cop30,2005,France
14643,cop30,1981,Germany
16801,cop30,1983,Germany
13982,cop30,1984,Germany
15978,cop30,1989,Germany
15494,cop30,1994,Germany
16940,cop30,2000,Germany
16513,cop30,2004,Germany
16192,cop30,2007,Germany
16033,cop30,2010,Germany
7623,cop30,1995,Greece
8823,cop30,2000,Greece
11029,cop30,2004,Greece
11724,cop30,2007,Greece
10459,cop30,2010,Greece
6826,cop30,1987,Ireland
8813,cop30,1994,Ireland
9157,cop30,1995,Ireland
9873,cop30,1996,Ireland
13203,cop30,2000,Ireland
14530,cop30,2004,Ireland
16722,cop30,2007,Ireland
14488,cop30,2010,Ireland
7607,cop30,1986,Israel
9094,cop30,1992,Israel
8746,cop30,1997,Israel
9540,cop30,2001,Israel
8890,cop30,2005,Israel
9572,cop30,2007,Israel
9539,cop30,2010,Israel
9132,cop30,1986,Italy
9582,cop30,1987,Italy
10805,cop30,1989,Italy
11199,cop30,1991,Italy
9897,cop30,1993,Italy
9710,cop30,1995,Italy
10316,cop30,1998,Italy
10485,cop30,2000,Italy
10819,cop30,2004,Italy
11259,cop30,2008,Italy
11007,cop30,2010,Italy
13644,cop30,1985,Luxembourg
20914,cop30,1991,Luxembourg
22381,cop30,1994,Luxembourg
22259,cop30,1997,Luxembourg
23661,cop30,2000,Luxembourg
27013,cop30,2004,Luxembourg
27028,cop30,2007,Luxembourg
26166,cop30,2010,Luxembourg
2494,cop30,1989,Mexico
2602,cop30,1992,Mexico
2557,cop30,1994,Mexico
1990,cop30,1996,Mexico
2037,cop30,1998,Mexico
2436,cop30,2000,Mexico
2619,cop30,2002,Mexico
2819,cop30,2004,Mexico
3821,cop30,2008,Mexico
3722,cop30,2010,Mexico
12631,cop30,1983,Netherlands
13126,cop30,1987,Netherlands
15106,cop30,1990,Netherlands
14399,cop30,1993,Netherlands
16840,cop30,1999,Netherlands
16703,cop30,2004,Netherlands
18318,cop30,2007,Netherlands
18283,cop30,2010,Netherlands
11083,cop30,1979,Norway
15035,cop30,1986,Norway
15682,cop30,1991,Norway
17111,cop30,1995,Norway
18119,cop30,2000,Norway
19553,cop30,2004,Norway
3935,cop30,1995,Poland
4910,cop30,1999,Poland
4683,cop30,2004,Poland
5719,cop30,2007,Poland
6645,cop30,2010,Poland
7072,cop30,1980,Spain
6902,cop30,1985,Spain
8869,cop30,1990,Spain
9668,cop30,1995,Spain
11700,cop30,2000,Spain
11638,cop30,2004,Spain
13025,cop30,2007,Spain
11355,cop30,2010,Spain
10503,cop30,1981,Sweden
11124,cop30,1987,Sweden
12887,cop30,1992,Sweden
12447,cop30,1995,Sweden
13820,cop30,2000,Sweden
15812,cop30,2005,Sweden
18742,cop30,1982,Switzerland
18918,cop30,1992,Switzerland
19164,cop30,2000,Switzerland
19750,cop30,2002,Switzerland
19549,cop30,2004,Switzerland
10022,cop30,1979,United Kingdom
9673,cop30,1986,United Kingdom
10693,cop30,1991,United Kingdom
11325,cop30,1994,United Kingdom
10767,cop30,1995,United Kingdom
12714,cop30,1999,United Kingdom
15546,cop30,2004,United Kingdom
16021,cop30,2007,United Kingdom
15734,cop30,2010,United Kingdom
17312,cop30,1979,United States
17101,cop30,1986,United States
16706,cop30,1991,United States
16569,cop30,1994,United States
17488,cop30,1997,United States
18994,cop30,2000,United States
18960,cop30,2004,United States
19142,cop30,2007,United States
18396,cop30,2010,United States
15207,cop40,1981,Australia
14984,cop40,1985,Australia
15138,cop40,1989,Australia
13660,cop40,1995,Australia
15252,cop40,2001,Australia
15823,cop40,2003,Australia
18019,cop40,1987,Austria
18950,cop40,1994,Austria
16390,cop40,1995,Austria
18413,cop40,1997,Austria
19514,cop40,2000,Austria
20657,cop40,2004,Austria
13368,cop40,1985,Belgium
14038,cop40,1988,Belgium
15020,cop40,1992,Belgium
16648,cop40,1995,Belgium
16448,cop40,1997,Belgium
17692,cop40,2000,Belgium
19053,cop40,1981,Canada
19617,cop40,1987,Canada
19515,cop40,1991,Canada
19472,cop40,1994,Canada
19316,cop40,1997,Canada
19515,cop40,1998,Canada
19430,cop40,2000,Canada
20678,cop40,2004,Canada
22419,cop40,2007,Canada
23171,cop40,2010,Canada
16834,cop40,1987,Denmark
16354,cop40,1992,Denmark
17572,cop40,1995,Denmark
18576,cop40,2000,Denmark
19411,cop40,2004,Denmark
4235,cop40,2000,Estonia
5550,cop40,2004,Estonia
8734,cop40,2007,Estonia
7632,cop40,2010,Estonia
13533,cop40,1987,Finland
14921,cop40,1991,Finland
13323,cop40,1995,Finland
14467,cop40,2000,Finland
16311,cop40,2004,Finland
17892,cop40,2007,Finland
18195,cop40,2010,Finland
12129,cop40,1978,France
13406,cop40,1984,France
14160,cop40,1989,France
15601,cop40,1994,France
15779,cop40,2000,France
16461,cop40,2005,France
16276,cop40,1981,Germany
18880,cop40,1983,Germany
15827,cop40,1984,Germany
18079,cop40,1989,Germany
17385,cop40,1994,Germany
18902,cop40,2000,Germany
18705,cop40,2004,Germany
18333,cop40,2007,Germany
18364,cop40,2010,Germany
9199,cop40,1995,Greece
10558,cop40,2000,Greece
12801,cop40,2004,Greece
13762,cop40,2007,Greece
12239,cop40,2010,Greece
8162,cop40,1987,Ireland
10498,cop40,1994,Ireland
10918,cop40,1995,Ireland
11659,cop40,1996,Ireland
15556,cop40,2000,Ireland
17497,cop40,2004,Ireland
19721,cop40,2007,Ireland
16769,cop40,2010,Ireland
8933,cop40,1986,Israel
10612,cop40,1992,Israel
10351,cop40,1997,Israel
11568,cop40,2001,Israel
11205,cop40,2005,Israel
12052,cop40,2007,Israel
12187,cop40,2010,Israel
10567,cop40,1986,Italy
11189,cop40,1987,Italy
12851,cop40,1989,Italy
13231,cop40,1991,Italy
11778,cop40,1993,Italy
11555,cop40,1995,Italy
12269,cop40,1998,Italy
12503,cop40,2000,Italy
12693,cop40,2004,Italy
13321,cop40,2008,Italy
12922,cop40,2010,Italy
15428,cop40,1985,Luxembourg
23748,cop40,1991,Luxembourg
25012,cop40,1994,Luxembourg
25318,cop40,1997,Luxembourg
26599,cop40,2000,Luxembourg
30417,cop40,2004,Luxembourg
30098,cop40,2007,Luxembourg
29796,cop40,2010,Luxembourg
3051,cop40,1989,Mexico
3192,cop40,1992,Mexico
3200,cop40,1994,Mexico
2463,cop40,1996,Mexico
2599,cop40,1998,Mexico
3118,cop40,2000,Mexico
3281,cop40,2002,Mexico
3461,cop40,2004,Mexico
4807,cop40,2008,Mexico
4602,cop40,2010,Mexico
14168,cop40,1983,Netherlands
14681,cop40,1987,Netherlands
17085,cop40,1990,Netherlands
16209,cop40,1993,Netherlands
19042,cop40,1999,Netherlands
18756,cop40,2004,Netherlands
20582,cop40,2007,Netherlands
20480,cop40,2010,Netherlands
12298,cop40,1979,Norway
16822,cop40,1986,Norway
17425,cop40,1991,Norway
18876,cop40,1995,Norway
20299,cop40,2000,Norway
21958,cop40,2004,Norway
4533,cop40,1995,Poland
5594,cop40,1999,Poland
5394,cop40,2004,Poland
6540,cop40,2007,Poland
7658,cop40,2010,Poland
8308,cop40,1980,Spain
8045,cop40,1985,Spain
10284,cop40,1990,Spain
11272,cop40,1995,Spain
13952,cop40,2000,Spain
13847,cop40,2004,Spain
15247,cop40,2007,Spain
13503,cop40,2010,Spain
11545,cop40,1981,Sweden
12337,cop40,1987,Sweden
14422,cop40,1992,Sweden
13583,cop40,1995,Sweden
15514,cop40,2000,Sweden
17807,cop40,2005,Sweden
21074,cop40,1982,Switzerland
21554,cop40,1992,Switzerland
21689,cop40,2000,Switzerland
22869,cop40,2002,Switzerland
22209,cop40,2004,Switzerland
11554,cop40,1979,United Kingdom
11315,cop40,1986,United Kingdom
12980,cop40,1991,United Kingdom
13428,cop40,1994,United Kingdom
12998,cop40,1995,United Kingdom
15241,cop40,1999,United Kingdom
18409,cop40,2004,United Kingdom
19238,cop40,2007,United Kingdom
18730,cop40,2010,United Kingdom
20541,cop40,1979,United States
20759,cop40,1986,United States
20417,cop40,1991,United States
20159,cop40,1994,United States
21331,cop40,1997,United States
23079,cop40,2000,United States
23269,cop40,2004,United States
23432,cop40,2007,United States
22559,cop40,2010,United States
17427,cop50,1981,Australia
17389,cop50,1985,Australia
17559,cop50,1989,Australia
16167,cop50,1995,Australia
18113,cop50,2001,Australia
18358,cop50,2003,Australia
19815,cop50,1987,Austria
21226,cop50,1994,Austria
18631,cop50,1995,Austria
20523,cop50,1997,Austria
21797,cop50,2000,Austria
23163,cop50,2004,Austria
14987,cop50,1985,Belgium
15623,cop50,1988,Belgium
16673,cop50,1992,Belgium
19092,cop50,1995,Belgium
18636,cop50,1997,Belgium
20037,cop50,2000,Belgium
21729,cop50,1981,Canada
22308,cop50,1987,Canada
22160,cop50,1991,Canada
22171,cop50,1994,Canada
22107,cop50,1997,Canada
22545,cop50,1998,Canada
22335,cop50,2000,Canada
23845,cop50,2004,Canada
25903,cop50,2007,Canada
26762,cop50,2010,Canada
18798,cop50,1987,Denmark
18213,cop50,1992,Denmark
19466,cop50,1995,Denmark
20589,cop50,2000,Denmark
21624,cop50,2004,Denmark
4930,cop50,2000,Estonia
6529,cop50,2004,Estonia
10129,cop50,2007,Estonia
8944,cop50,2010,Estonia
14793,cop50,1987,Finland
16240,cop50,1991,Finland
14567,cop50,1995,Finland
16180,cop50,2000,Finland
18265,cop50,2004,Finland
19950,cop50,2007,Finland
20430,cop50,2010,Finland
13915,cop50,1978,France
15227,cop50,1984,France
15955,cop50,1989,France
17508,cop50,1994,France
17648,cop50,2000,France
18411,cop50,2005,France
18114,cop50,1981,Germany
21151,cop50,1983,Germany
17715,cop50,1984,Germany
19902,cop50,1989,Germany
19472,cop50,1994,Germany
20969,cop50,2000,Germany
20953,cop50,2004,Germany
20562,cop50,2007,Germany
20906,cop50,2010,Germany
10821,cop50,1995,Greece
12173,cop50,2000,Greece
14737,cop50,2004,Greece
15975,cop50,2007,Greece
14527,cop50,2010,Greece
9405,cop50,1987,Ireland
12482,cop50,1994,Ireland
12976,cop50,1995,Ireland
13812,cop50,1996,Ireland
18144,cop50,2000,Ireland
20547,cop50,2004,Ireland
22755,cop50,2007,Ireland
19399,cop50,2010,Ireland
10397,cop50,1986,Israel
12216,cop50,1992,Israel
12366,cop50,1997,Israel
13745,cop50,2001,Israel
13528,cop50,2005,Israel
14646,cop50,2007,Israel
15174,cop50,2010,Israel
12328,cop50,1986,Italy
13081,cop50,1987,Italy
14662,cop50,1989,Italy
15183,cop50,1991,Italy
13997,cop50,1993,Italy
13682,cop50,1995,Italy
14394,cop50,1998,Italy
14613,cop50,2000,Italy
14997,cop50,2004,Italy
15636,cop50,2008,Italy
15164,cop50,2010,Italy
17007,cop50,1985,Luxembourg
26410,cop50,1991,Luxembourg
28249,cop50,1994,Luxembourg
28022,cop50,1997,Luxembourg
29916,cop50,2000,Luxembourg
34260,cop50,2004,Luxembourg
34174,cop50,2007,Luxembourg
33755,cop50,2010,Luxembourg
3734,cop50,1989,Mexico
3875,cop50,1992,Mexico
3933,cop50,1994,Mexico
3022,cop50,1996,Mexico
3245,cop50,1998,Mexico
3850,cop50,2000,Mexico
4004,cop50,2002,Mexico
4239,cop50,2004,Mexico
5921,cop50,2008,Mexico
5584,cop50,2010,Mexico
15589,cop50,1983,Netherlands
16238,cop50,1987,Netherlands
19197,cop50,1990,Netherlands
18230,cop50,1993,Netherlands
21094,cop50,1999,Netherlands
20887,cop50,2004,Netherlands
22978,cop50,2007,Netherlands
22665,cop50,2010,Netherlands
13539,cop50,1979,Norway
18560,cop50,1986,Norway
19212,cop50,1991,Norway
20661,cop50,1995,Norway
22376,cop50,2000,Norway
24196,cop50,2004,Norway
5151,cop50,1995,Poland
6313,cop50,1999,Poland
6172,cop50,2004,Poland
7430,cop50,2007,Poland
8719,cop50,2010,Poland
9518,cop50,1980,Spain
9066,cop50,1985,Spain
11694,cop50,1990,Spain
12966,cop50,1995,Spain
16406,cop50,2000,Spain
16101,cop50,2004,Spain
17823,cop50,2007,Spain
15981,cop50,2010,Spain
12601,cop50,1981,Sweden
13562,cop50,1987,Sweden
15744,cop50,1992,Sweden
14739,cop50,1995,Sweden
17163,cop50,2000,Sweden
